,sum,combo
425,531.0,"['平均気温', '最高気温', '日照時間', '平均風速', '平均蒸気圧']"
771,532.0,"['最高気温', '最低気温', '降水量', '日照時間', '平均蒸気圧', '平均現地気圧']"
496,534.0,"['平均気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
931,535.0,"['最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
457,536.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧']"
393,538.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均蒸気圧']"
871,539.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
422,542.0,"['平均気温', '最高気温', '日照時間', '降雪量', '平均蒸気圧']"
947,550.0,"['最高気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
727,552.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
656,554.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧']"
935,556.0,"['最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
534,557.0,"['最高気温', '最低気温', '日照時間', '平均蒸気圧', '平均現地気圧']"
764,559.0,"['最高気温', '最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧']"
692,562.0,"['平均気温', '最高気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
653,565.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧']"
864,566.0,"['平均気温', '最高気温', '最低気温', '降水量', '平均風速', '平均蒸気圧', '平均現地気圧']"
724,568.0,"['平均気温', '最低気温', '降水量', '平均風速', '平均蒸気圧', '平均現地気圧']"
267,569.0,"['最高気温', '最低気温', '日照時間', '平均蒸気圧']"
598,569.0,"['最低気温', '降水量', '平均風速', '平均蒸気圧', '平均現地気圧']"
530,574.0,"['最高気温', '最低気温', '日照時間', '平均風速', '平均蒸気圧']"
780,576.0,"['最高気温', '最低気温', '降水量', '平均風速', '平均蒸気圧', '平均現地気圧']"
867,577.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
787,579.0,"['最高気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
826,581.0,"['最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
914,582.0,"['平均気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
978,585.0,"['平均気温', '最高気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
830,587.0,"['最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
527,590.0,"['最高気温', '最低気温', '日照時間', '降雪量', '平均蒸気圧']"
783,593.0,"['最高気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
942,595.0,"['最高気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
689,596.0,"['平均気温', '最高気温', '降水量', '平均風速', '平均蒸気圧', '平均現地気圧']"
576,596.0,"['最高気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
960,598.0,"['最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
608,602.0,"['最低気温', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
311,607.0,"['最高気温', '平均風速', '平均蒸気圧', '平均湿度']"
818,608.0,"['最高気温', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
580,614.0,"['最高気温', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
893,615.0,"['平均気温', '最高気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
347,615.0,"['最低気温', '平均風速', '平均蒸気圧', '平均現地気圧']"
808,616.0,"['最高気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
579,619.0,"['最高気温', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
450,621.0,"['平均気温', '最低気温', '降水量', '平均風速', '平均蒸気圧']"
669,623.0,"['平均気温', '最高気温', '最低気温', '平均風速', '平均蒸気圧', '平均現地気圧']"
646,626.0,"['平均気温', '最高気温', '最低気温', '降水量', '平均風速', '平均蒸気圧']"
314,627.0,"['最高気温', '平均蒸気圧', '平均湿度', '平均現地気圧']"
835,629.0,"['最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
957,630.0,"['最高気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
324,632.0,"['最低気温', '降水量', '平均風速', '平均蒸気圧']"
473,632.0,"['平均気温', '最低気温', '平均風速', '平均蒸気圧', '平均現地気圧']"
562,634.0,"['最高気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度']"
585,637.0,"['最低気温', '降水量', '日照時間', '平均風速', '平均蒸気圧']"
520,640.0,"['最高気温', '最低気温', '降水量', '平均風速', '平均蒸気圧']"
812,641.0,"['最高気温', '降水量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
543,644.0,"['最高気温', '最低気温', '平均風速', '平均蒸気圧', '平均現地気圧']"
811,644.0,"['最高気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
308,645.0,"['最高気温', '降雪量', '平均蒸気圧', '平均湿度']"
717,647.0,"['平均気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧']"
612,647.0,"['最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
857,649.0,"['平均気温', '最高気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧']"
116,649.0,"['最高気温', '平均蒸気圧', '平均湿度']"
878,651.0,"['平均気温', '最高気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
591,653.0,"['最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧']"
565,655.0,"['最高気温', '降水量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
819,660.0,"['最低気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
438,662.0,"['平均気温', '最高気温', '平均風速', '平均蒸気圧', '平均現地気圧']"
738,662.0,"['平均気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
773,664.0,"['最高気温', '最低気温', '降水量', '降雪量', '平均風速', '平均蒸気圧']"
559,666.0,"['最高気温', '降水量', '降雪量', '平均蒸気圧', '平均湿度']"
415,668.0,"['平均気温', '最高気温', '降水量', '平均風速', '平均蒸気圧']"
292,670.0,"['最高気温', '降水量', '平均蒸気圧', '平均湿度']"
794,671.0,"['最高気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
703,678.0,"['平均気温', '最高気温', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
334,679.0,"['最低気温', '日照時間', '平均風速', '平均蒸気圧']"
682,680.0,"['平均気温', '最高気温', '降水量', '降雪量', '平均風速', '平均蒸気圧']"
601,689.0,"['最低気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
554,691.0,"['最高気温', '降水量', '日照時間', '平均蒸気圧', '平均現地気圧']"
589,693.0,"['最低気温', '降水量', '日照時間', '平均蒸気圧', '平均現地気圧']"
303,693.0,"['最高気温', '日照時間', '平均蒸気圧', '平均現地気圧']"
338,695.0,"['最低気温', '日照時間', '平均蒸気圧', '平均現地気圧']"
134,696.0,"['最低気温', '平均風速', '平均蒸気圧']"
317,697.0,"['最低気温', '降水量', '日照時間', '平均蒸気圧']"
282,699.0,"['最高気温', '降水量', '日照時間', '平均蒸気圧']"
400,702.0,"['平均気温', '最高気温', '最低気温', '平均風速', '平均蒸気圧']"
802,705.0,"['最高気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
547,710.0,"['最高気温', '降水量', '日照時間', '降雪量', '平均蒸気圧']"
823,712.0,"['最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
805,714.0,"['最高気温', '降水量', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
218,715.0,"['平均気温', '最低気温', '平均風速', '平均蒸気圧']"
570,716.0,"['最高気温', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
419,718.0,"['平均気温', '最高気温', '降水量', '平均蒸気圧', '平均現地気圧']"
274,720.0,"['最高気温', '最低気温', '平均風速', '平均蒸気圧']"
582,721.0,"['最低気温', '降水量', '日照時間', '降雪量', '平均蒸気圧']"
340,724.0,"['最低気温', '降雪量', '平均風速', '平均蒸気圧']"
573,724.0,"['最高気温', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
127,724.0,"['最低気温', '日照時間', '平均蒸気圧']"
106,726.0,"['最高気温', '日照時間', '平均蒸気圧']"
605,726.0,"['最低気温', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
662,729.0,"['平均気温', '最高気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧']"
550,729.0,"['最高気温', '降水量', '日照時間', '平均風速', '平均蒸気圧']"
953,731.0,"['最高気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
650,732.0,"['平均気温', '最高気温', '最低気温', '降水量', '平均蒸気圧', '平均現地気圧']"
185,733.0,"['平均気温', '最高気温', '降水量', '平均蒸気圧']"
197,739.0,"['平均気温', '最高気温', '平均風速', '平均蒸気圧']"
798,742.0,"['最高気温', '降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
466,742.0,"['平均気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧']"
388,744.0,"['平均気温', '最高気温', '最低気温', '降水量', '平均蒸気圧']"
536,746.0,"['最高気温', '最低気温', '降雪量', '平均風速', '平均蒸気圧']"
686,747.0,"['平均気温', '最高気温', '降水量', '降雪量', '平均蒸気圧', '平均現地気圧']"
299,747.0,"['最高気温', '日照時間', '平均風速', '平均蒸気圧']"
296,750.0,"['最高気温', '日照時間', '降雪量', '平均蒸気圧']"
331,752.0,"['最低気温', '日照時間', '降雪量', '平均蒸気圧']"
814,753.0,"['最高気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
412,758.0,"['平均気温', '最高気温', '降水量', '降雪量', '平均蒸気圧']"
861,758.0,"['平均気温', '最高気温', '最低気温', '降水量', '降雪量', '平均蒸気圧', '平均現地気圧']"
643,765.0,"['平均気温', '最高気温', '最低気温', '降水量', '降雪量', '平均蒸気圧']"
328,766.0,"['最低気温', '降水量', '平均蒸気圧', '平均現地気圧']"
431,767.0,"['平均気温', '最高気温', '降雪量', '平均風速', '平均蒸気圧']"
201,768.0,"['平均気温', '最高気温', '平均蒸気圧', '平均現地気圧']"
122,769.0,"['最低気温', '降水量', '平均蒸気圧']"
566,769.0,"['最高気温', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
454,774.0,"['平均気温', '最低気温', '降水量', '平均蒸気圧', '平均現地気圧']"
206,776.0,"['平均気温', '最低気温', '降水量', '平均蒸気圧']"
404,781.0,"['平均気温', '最高気温', '最低気温', '平均蒸気圧', '平均現地気圧']"
595,785.0,"['最低気温', '降水量', '降雪量', '平均蒸気圧', '平均現地気圧']"
524,787.0,"['最高気温', '最低気温', '降水量', '平均蒸気圧', '平均現地気圧']"
321,788.0,"['最低気温', '降水量', '降雪量', '平均蒸気圧']"
262,790.0,"['最高気温', '最低気温', '降水量', '平均蒸気圧']"
721,791.0,"['平均気温', '最低気温', '降水量', '降雪量', '平均蒸気圧', '平均現地気圧']"
435,791.0,"['平均気温', '最高気温', '降雪量', '平均蒸気圧', '平均現地気圧']"
60,792.0,"['平均気温', '最高気温', '平均蒸気圧']"
447,796.0,"['平均気温', '最低気温', '降水量', '降雪量', '平均蒸気圧']"
666,800.0,"['平均気温', '最高気温', '最低気温', '降雪量', '平均蒸気圧', '平均現地気圧']"
493,801.0,"['平均気温', '降水量', '平均風速', '平均蒸気圧', '平均現地気圧']"
179,802.0,"['平均気温', '最高気温', '最低気温', '平均蒸気圧']"
777,803.0,"['最高気温', '最低気温', '降水量', '降雪量', '平均蒸気圧', '平均現地気圧']"
138,803.0,"['最低気温', '平均蒸気圧', '平均現地気圧']"
517,805.0,"['最高気温', '最低気温', '降水量', '降雪量', '平均蒸気圧']"
194,809.0,"['平均気温', '最高気温', '降雪量', '平均蒸気圧']"
31,811.0,"['最低気温', '平均蒸気圧']"
222,815.0,"['平均気温', '最低気温', '平均蒸気圧', '平均現地気圧']"
753,816.0,"['平均気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
278,817.0,"['最高気温', '最低気温', '平均蒸気圧', '平均現地気圧']"
397,818.0,"['平均気温', '最高気温', '最低気温', '降雪量', '平均蒸気圧']"
344,819.0,"['最低気温', '降雪量', '平均蒸気圧', '平均現地気圧']"
67,824.0,"['平均気温', '最低気温', '平均蒸気圧']"
95,826.0,"['最高気温', '最低気温', '平均蒸気圧']"
470,827.0,"['平均気温', '最低気温', '降雪量', '平均蒸気圧', '平均現地気圧']"
131,828.0,"['最低気温', '降雪量', '平均蒸気圧']"
540,829.0,"['最高気温', '最低気温', '降雪量', '平均蒸気圧', '平均現地気圧']"
233,832.0,"['平均気温', '降水量', '平均風速', '平均蒸気圧']"
215,836.0,"['平均気温', '最低気温', '降雪量', '平均蒸気圧']"
486,839.0,"['平均気温', '降水量', '降雪量', '平均風速', '平均蒸気圧']"
271,839.0,"['最高気温', '最低気温', '降雪量', '平均蒸気圧']"
256,842.0,"['平均気温', '平均風速', '平均蒸気圧', '平均現地気圧']"
507,844.0,"['平均気温', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
237,847.0,"['平均気温', '降水量', '平均蒸気圧', '平均現地気圧']"
73,848.0,"['平均気温', '降水量', '平均蒸気圧']"
490,851.0,"['平均気温', '降水量', '降雪量', '平均蒸気圧', '平均現地気圧']"
230,852.0,"['平均気温', '降水量', '降雪量', '平均蒸気圧']"
85,852.0,"['平均気温', '平均風速', '平均蒸気圧']"
249,856.0,"['平均気温', '降雪量', '平均風速', '平均蒸気圧']"
89,858.0,"['平均気温', '平均蒸気圧', '平均現地気圧']"
16,861.0,"['平均気温', '平均蒸気圧']"
253,861.0,"['平均気温', '降雪量', '平均蒸気圧', '平均現地気圧']"
82,864.0,"['平均気温', '降雪量', '平均蒸気圧']"
563,866.0,"['最高気温', '降水量', '平均風速', '平均蒸気圧', '平均現地気圧']"
312,869.0,"['最高気温', '平均風速', '平均蒸気圧', '平均現地気圧']"
809,869.0,"['最高気温', '降水量', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
289,873.0,"['最高気温', '降水量', '平均風速', '平均蒸気圧']"
577,873.0,"['最高気温', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
293,877.0,"['最高気温', '降水量', '平均蒸気圧', '平均現地気圧']"
556,878.0,"['最高気温', '降水量', '降雪量', '平均風速', '平均蒸気圧']"
101,880.0,"['最高気温', '降水量', '平均蒸気圧']"
560,882.0,"['最高気温', '降水量', '降雪量', '平均蒸気圧', '平均現地気圧']"
117,884.0,"['最高気温', '平均蒸気圧', '平均現地気圧']"
286,885.0,"['最高気温', '降水量', '降雪量', '平均蒸気圧']"
113,889.0,"['最高気温', '平均風速', '平均蒸気圧']"
309,890.0,"['最高気温', '降雪量', '平均蒸気圧', '平均現地気圧']"
24,892.0,"['最高気温', '平均蒸気圧']"
305,893.0,"['最高気温', '降雪量', '平均風速', '平均蒸気圧']"
110,896.0,"['最高気温', '降雪量', '平均蒸気圧']"
383,899.0,"['降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
174,899.0,"['平均蒸気圧', '平均湿度', '平均現地気圧']"
384,908.0,"['平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
379,910.0,"['日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
369,912.0,"['降水量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
163,912.0,"['日照時間', '平均蒸気圧', '平均現地気圧']"
636,913.0,"['降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
629,916.0,"['降水量', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
374,917.0,"['日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
634,918.0,"['日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
377,921.0,"['日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
172,922.0,"['平均風速', '平均蒸気圧', '平均現地気圧']"
53,929.0,"['平均蒸気圧', '平均現地気圧']"
632,935.0,"['日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
358,937.0,"['降水量', '日照時間', '平均蒸気圧', '平均現地気圧']"
635,938.0,"['日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
381,939.0,"['降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
169,939.0,"['降雪量', '平均蒸気圧', '平均現地気圧']"
630,940.0,"['降水量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
153,941.0,"['降水量', '平均蒸気圧', '平均現地気圧']"
625,942.0,"['降水量', '日照時間', '平均蒸気圧', '平均湿度', '平均現地気圧']"
367,943.0,"['降水量', '平均風速', '平均蒸気圧', '平均現地気圧']"
620,945.0,"['降水量', '日照時間', '降雪量', '平均蒸気圧', '平均現地気圧']"
168,950.0,"['降雪量', '平均蒸気圧', '平均湿度']"
52,953.0,"['平均蒸気圧', '平均湿度']"
845,955.0,"['降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
364,955.0,"['降水量', '降雪量', '平均蒸気圧', '平均現地気圧']"
846,957.0,"['日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
627,957.0,"['降水量', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
623,960.0,"['降水量', '日照時間', '平均風速', '平均蒸気圧', '平均現地気圧']"
843,965.0,"['降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度', '平均現地気圧']"
210,978.0,"['平均気温', '最低気温', '日照時間', '平均風速']"
841,991.0,"['降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均現地気圧']"
380,998.0,"['降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
363,1001.0,"['降水量', '降雪量', '平均蒸気圧', '平均湿度']"
844,1003.0,"['降水量', '日照時間', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
42,1005.0,"['日照時間', '平均蒸気圧']"
213,1005.0,"['平均気温', '最低気温', '日照時間', '平均現地気圧']"
171,1006.0,"['平均風速', '平均蒸気圧', '平均湿度']"
373,1009.0,"['日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
152,1012.0,"['降水量', '平均蒸気圧', '平均湿度']"
162,1017.0,"['日照時間', '平均蒸気圧', '平均湿度']"
156,1020.0,"['日照時間', '降雪量', '平均蒸気圧']"
462,1024.0,"['平均気温', '最低気温', '日照時間', '平均風速', '平均現地気圧']"
64,1024.0,"['平均気温', '最低気温', '日照時間']"
456,1026.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均風速']"
9,1035.0,['平均現地気圧']
392,1040.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均風速']"
44,1048.0,"['日照時間', '平均現地気圧']"
966,1060.0,"['降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度', '平均現地気圧']"
395,1062.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均現地気圧']"
7,1065.0,['平均蒸気圧']
142,1065.0,"['降水量', '日照時間', '平均蒸気圧']"
351,1069.0,"['降水量', '日照時間', '降雪量', '平均蒸気圧']"
459,1073.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均現地気圧']"
209,1075.0,"['平均気温', '最低気温', '日照時間', '降雪量']"
48,1078.0,"['降雪量', '平均現地気圧']"
442,1079.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均風速']"
159,1081.0,"['日照時間', '平均風速', '平均蒸気圧']"
461,1084.0,"['平均気温', '最低気温', '日照時間', '平均風速', '平均湿度']"
37,1085.0,"['降水量', '平均蒸気圧']"
176,1086.0,"['平均気温', '最高気温', '最低気温', '日照時間']"
39,1095.0,"['降水量', '平均現地気圧']"
4,1097.0,['日照時間']
164,1099.0,"['日照時間', '平均湿度', '平均現地気圧']"
465,1100.0,"['平均気温', '最低気温', '日照時間', '平均湿度', '平均現地気圧']"
181,1101.0,"['平均気温', '最高気温', '最低気温', '平均現地気圧']"
146,1102.0,"['降水量', '降雪量', '平均蒸気圧']"
158,1104.0,"['日照時間', '降雪量', '平均現地気圧']"
46,1108.0,"['降雪量', '平均蒸気圧']"
212,1109.0,"['平均気温', '最低気温', '日照時間', '平均湿度']"
376,1111.0,"['日照時間', '平均風速', '平均蒸気圧', '平均湿度']"
51,1113.0,"['平均風速', '平均現地気圧']"
366,1113.0,"['降水量', '平均風速', '平均蒸気圧', '平均湿度']"
658,1114.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均風速', '平均現地気圧']"
54,1117.0,"['平均湿度', '平均現地気圧']"
729,1119.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均現地気圧']"
33,1120.0,"['最低気温', '平均現地気圧']"
626,1121.0,"['降水量', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
357,1121.0,"['降水量', '日照時間', '平均蒸気圧', '平均湿度']"
26,1122.0,"['最高気温', '平均現地気圧']"
129,1125.0,"['最低気温', '日照時間', '平均現地気圧']"
18,1125.0,"['平均気温', '平均現地気圧']"
631,1129.0,"['日照時間', '降雪量', '平均風速', '平均蒸気圧', '平均湿度']"
652,1129.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均風速']"
55,1130.0,"['平均気温', '最高気温', '最低気温']"
619,1131.0,"['降水量', '日照時間', '降雪量', '平均蒸気圧', '平均湿度']"
370,1131.0,"['日照時間', '降雪量', '平均風速', '平均蒸気圧']"
203,1134.0,"['平均気温', '最低気温', '降水量', '日照時間']"
161,1135.0,"['日照時間', '平均風速', '平均現地気圧']"
445,1136.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均現地気圧']"
40,1141.0,"['日照時間', '降雪量']"
144,1149.0,"['降水量', '日照時間', '平均現地気圧']"
269,1150.0,"['最高気温', '最低気温', '日照時間', '平均現地気圧']"
80,1151.0,"['平均気温', '日照時間', '平均現地気圧']"
49,1153.0,"['平均風速', '平均蒸気圧']"
108,1153.0,"['最高気温', '日照時間', '平均現地気圧']"
655,1156.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均現地気圧']"
92,1158.0,"['最高気温', '最低気温', '日照時間']"
707,1171.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均風速']"
5,1173.0,['降雪量']
21,1177.0,"['最高気温', '日照時間']"
148,1180.0,"['降水量', '降雪量', '平均現地気圧']"
391,1180.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量']"
41,1185.0,"['日照時間', '平均風速']"
728,1188.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均湿度']"
266,1189.0,"['最高気温', '最低気温', '日照時間', '平均風速']"
13,1190.0,"['平均気温', '日照時間']"
3,1190.0,['降水量']
149,1191.0,"['降水量', '平均風速', '平均蒸気圧']"
735,1192.0,"['平均気温', '最低気温', '日照時間', '平均風速', '平均湿度', '平均現地気圧']"
661,1195.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均湿度', '平均現地気圧']"
713,1197.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均風速', '平均現地気圧']"
354,1201.0,"['降水量', '日照時間', '平均風速', '平均蒸気圧']"
375,1203.0,"['日照時間', '降雪量', '平均湿度', '平均現地気圧']"
399,1207.0,"['平均気温', '最高気温', '最低気温', '降雪量', '平均現地気圧']"
360,1209.0,"['降水量', '降雪量', '平均風速', '平均蒸気圧']"
441,1211.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量']"
170,1213.0,"['降雪量', '平均湿度', '平均現地気圧']"
394,1214.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均湿度']"
167,1215.0,"['降雪量', '平均風速', '平均現地気圧']"
638,1216.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均風速']"
0,1217.0,['平均気温']
112,1217.0,"['最高気温', '降雪量', '平均現地気圧']"
458,1217.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均湿度']"
43,1218.0,"['日照時間', '平均湿度']"
35,1220.0,"['降水量', '降雪量']"
657,1220.0,"['平均気温', '最高気温', '最低気温', '日照時間', '平均風速', '平均湿度']"
165,1221.0,"['降雪量', '平均風速', '平均蒸気圧']"
34,1222.0,"['降水量', '日照時間']"
8,1223.0,['平均湿度']
133,1224.0,"['最低気温', '降雪量', '平均現地気圧']"
84,1228.0,"['平均気温', '降雪量', '平均現地気圧']"
333,1231.0,"['最低気温', '日照時間', '降雪量', '平均現地気圧']"
732,1236.0,"['平均気温', '最低気温', '日照時間', '降雪量', '平均湿度', '平均現地気圧']"
385,1236.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間']"
2,1238.0,['最低気温']
304,1239.0,"['最高気温', '日照時間', '平均湿度', '平均現地気圧']"
28,1241.0,"['最低気温', '日照時間']"
69,1241.0,"['平均気温', '最低気温', '平均現地気圧']"
616,1245.0,"['降水量', '日照時間', '降雪量', '平均風速', '平均蒸気圧']"
62,1246.0,"['平均気温', '最高気温', '平均現地気圧']"
1,1247.0,['最高気温']
248,1248.0,"['平均気温', '日照時間', '平均湿度', '平均現地気圧']"
641,1251.0,"['平均気温', '最高気温', '最低気温', '降水量', '日照時間', '平均現地気圧']"
359,1253.0,"['降水量', '日照時間', '平均湿度', '平均現地気圧']"
444,1254.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均湿度']"
124,1254.0,"['最低気温', '降水量', '平均現地気圧']"
390,1256.0,"['平均気温', '最高気温', '最低気温', '降水量', '平均現地気圧']"
151,1257.0,"['降水量', '平均風速', '平均現地気圧']"
869,1257.0,"['平均気温', '最高気温', '最低気温', '日照時間', '降雪量', '平均風速', '平均現地気圧']"
265,1258.0,"['最高気温', '最低気温', '日照時間', '降雪量']"
372,1260.0,"['日照時間', '降雪量', '平均風速', '平均現地気圧']"
103,1261.0,"['最高気温', '降水量', '平均現地気圧']"
710,1261.0,"['平均気温', '最低気温', '降水量', '日照時間', '降雪量', '平均現地気圧']"
155,1263.0,"['日照時間', '降雪量', '平均風速']"
353,1264.0,"['降水量', '日照時間', '降雪量', '平均現地気圧']"
405,1266.0,"['平均気温', '最高気温', '最低気温', '平均湿度', '平均現地気圧']"
378,1267.0,"['日照時間', '平均風速', '平均湿度', '平均現地気圧']"
177,1270.0,"['平均気温', '最高気温', '最低気温', '降雪量']"
75,1271.0,"['平均気温', '降水量', '平均現地気圧']"
529,1272.0,"['最高気温', '最低気温', '日照時間', '降雪量', '平均現地気圧']"
154,1274.0,"['降水量', '平均湿度', '平均現地気圧']"
242,1275.0,"['平均気温', '日照時間', '降雪量', '平均現地気圧']"
6,1275.0,['平均風速']
140,1276.0,"['降水量', '日照時間', '降雪量']"
339,1277.0,"['最低気温', '日照時間', '平均湿度', '平均現地気圧']"
716,1278.0,"['平均気温', '最低気温', '降水量', '日照時間', '平均湿度', '平均現地気圧']"
107,1279.0,"['最高気温', '日照時間', '平均湿度']"
139,1281.0,"['最低気温', '平均湿度', '平均現地気圧']"
